customer_id,store_id
00a6c9f2-bac9-4643-b8ff-873cdb8893b2,9cfdfcde-b865-4d48-865e-78edca0d1313
02db0857-728f-469d-bb63-2a65085e2525,9cfdfcde-b865-4d48-865e-78edca0d1313
03bc228f-be1e-4650-b23e-483d215bc1a9,9cfdfcde-b865-4d48-865e-78edca0d1313
077692be-f407-4319-a6ad-5aa2b766fa22,51da23d7-691e-4119-a13b-6670c18bba93
09eac76b-62c0-4d58-bf8a-5b4455d7dbf9,6f832b3e-eb01-4659-a46a-1147be39571c
0a083f3c-259a-4017-8f76-262b7a4620f3,6f832b3e-eb01-4659-a46a-1147be39571c
0b83eb69-1838-4570-ade2-3db51de7f0f1,9cfdfcde-b865-4d48-865e-78edca0d1313
0d623ec1-1a9d-4f7b-ba15-5761bee8474c,9cfdfcde-b865-4d48-865e-78edca0d1313
0fa1fb6f-7687-42da-a3e1-49fb3282cf49,9cfdfcde-b865-4d48-865e-78edca0d1313
145e383c-2abb-48ad-ada2-df1a032f7e41,9cfdfcde-b865-4d48-865e-78edca0d1313
15f13ff3-3fac-4a1e-8b8d-ef213e19b4cc,9cfdfcde-b865-4d48-865e-78edca0d1313
17b6fd24-db29-4e9b-9696-0d1db72e8b8c,6f832b3e-eb01-4659-a46a-1147be39571c
17d2b27f-be57-4727-b131-b69626cf78be,6f832b3e-eb01-4659-a46a-1147be39571c
18647e73-54bb-4065-8c8d-f7273f72a045,6f832b3e-eb01-4659-a46a-1147be39571c
1fb92cba-3a0b-4cd2-a426-9011f8480a03,6f832b3e-eb01-4659-a46a-1147be39571c
238a1c9e-dae3-4843-8929-9ae4a58993f2,6f832b3e-eb01-4659-a46a-1147be39571c
23b2939a-bf72-4833-9b73-7c20428ce2de,6f832b3e-eb01-4659-a46a-1147be39571c
268aa16a-4104-43d6-ad0c-ce4700941fef,6f832b3e-eb01-4659-a46a-1147be39571c
26d63a58-a048-49e7-800f-63b91644e201,6f832b3e-eb01-4659-a46a-1147be39571c
29395332-225a-4e8b-8a13-b2ad08332714,9cfdfcde-b865-4d48-865e-78edca0d1313
2a2b4fa9-be06-4ef8-bb8b-45927e3de9ce,6f832b3e-eb01-4659-a46a-1147be39571c
2a8fe55e-2aaf-4344-98db-c47db1486305,6f832b3e-eb01-4659-a46a-1147be39571c
2ae28367-92e1-45cb-b53a-d652946e7caf,9cfdfcde-b865-4d48-865e-78edca0d1313
2f8dbade-d87e-4e4e-ac88-b29e760190b4,6f832b3e-eb01-4659-a46a-1147be39571c
329f0611-2c1d-4f85-acbe-f1a2816a2710,6f832b3e-eb01-4659-a46a-1147be39571c
3540ce7b-57df-41c1-948d-c5a8434f2a5e,6f832b3e-eb01-4659-a46a-1147be39571c
3769b8b4-3667-4d93-87a0-79b829641662,9cfdfcde-b865-4d48-865e-78edca0d1313
39f6dd82-4d79-496b-90f2-ab397f56977d,9cfdfcde-b865-4d48-865e-78edca0d1313
3aa995b2-b60b-4d11-9377-df1b899ccecb,9cfdfcde-b865-4d48-865e-78edca0d1313
42f27bce-14d7-4700-82d6-5a83b0d79ec9,6f832b3e-eb01-4659-a46a-1147be39571c
442b69fe-b510-467e-b892-bc7c90703f59,6f832b3e-eb01-4659-a46a-1147be39571c
444b5997-f065-4ce6-bb8b-d48de947abed,6f832b3e-eb01-4659-a46a-1147be39571c
48377d70-2907-4fab-9c18-e0a8d1c79713,6f832b3e-eb01-4659-a46a-1147be39571c
