price,quantity,id,order_id,product_id,product_color,product_size
325,1,0002ecc4-8832-4bd7-824c-91217007d12c,60e1a645-b224-40a0-960b-897f85817d9b,c292dc2c-c43a-467e-a4d7-1c95ffcce525,,
325,1,053596de-d18d-4d1a-b45c-ae2feb3db74c,ecf306e4-48d4-44e1-8df4-52455027b812,c292dc2c-c43a-467e-a4d7-1c95ffcce525,,
380,1,06031449-e077-409f-8be5-844b215c0fa4,dac331d5-fdf4-4c6a-9c57-cf5d0d7b3e02,c292dc2c-c43a-467e-a4d7-1c95ffcce525,,
999,1,0eafdcff-624b-4e89-9746-165646f28449,bcfb279f-7d9c-4822-9c06-f5cbd57cf7b5,578362c8-15e6-4067-8946-430b3ad32ce4,,
330,1,127333e0-f5ca-4d73-b515-0f2505e65b03,6ad2775d-781d-4e5a-a5f5-69e6eb29e996,ce936c7d-3088-4855-b6ef-fae304eee051,,
250,1,1d4e338d-57a6-448e-839f-46d322d18f1f,a6237042-8ca4-495c-ae76-3ade3ca5a5e1,ca0c025a-acc2-476b-9de1-261fa0fd8aba,,
330,1,21c10144-fbef-4311-8b05-56e97cdee38c,3fba4368-9f95-4280-b613-108718b82307,ce936c7d-3088-4855-b6ef-fae304eee051,,
1050,3,2ba6a934-c7d1-41b4-8ede-49a9ef1f5acf,7519ff7b-3fbb-4273-b529-f68fb66edb3a,256689d1-22e6-4909-9281-f2b98857da2f,,
70,2,2bc79da0-54cb-4376-b438-e757ce595276,d53ea7dc-41aa-4b33-bc11-120abe097cfd,debb745f-e932-4428-8130-9817e6c10988,,
250,1,2c06b8ad-ec01-4195-9938-244139947001,8539cb0b-536a-4fac-b50a-59779c28d224,ca0c025a-acc2-476b-9de1-261fa0fd8aba,,
999,1,2e4ee1fd-2f5f-4604-9151-078f0569e42d,c4dce645-94ec-4e8d-9014-b37fa98c8f82,578362c8-15e6-4067-8946-430b3ad32ce4,,
350,1,3b029e61-76ed-4802-889d-219114ed8801,83160a1a-e5a1-41af-8e1d-fff339a052b8,c292dc2c-c43a-467e-a4d7-1c95ffcce525,,
160,1,3f9c1c0c-f458-4050-927e-86fa8ab385f2,3fba4368-9f95-4280-b613-108718b82307,60edf89a-db3b-4aaf-8fa9-92f09635d66e,,
350,1,58827b13-6338-4c44-8a76-cf0686c74106,4929d0e3-3ff9-4591-8d29-2be83e2efadf,c292dc2c-c43a-467e-a4d7-1c95ffcce525,,
