price,quantity,id,product_id,product_color,product_size
,6,01dc70d0-31a0-4300-bb91-725cb0c2ed5d,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Purple,L
,10,0491ad10-d6fb-49ed-aeb9-a1c7817a499e,e44c5449-63e0-4793-8a59-903828b0de53,White,
,6,04f1fa7b-43a4-4f2a-a0d6-44910a4c0eab,b520e92c-fa86-4e37-98af-25dda9b5e5f9,Blue,M
,4,0770e0b1-7377-48a4-8ac8-1010c5c683a4,b520e92c-fa86-4e37-98af-25dda9b5e5f9,Red,L
,2,0b55941a-6d5d-4b9e-9fb9-9c942007d0aa,578362c8-15e6-4067-8946-430b3ad32ce4,Black,L
,4,10d3fa28-8126-4914-bd72-856cb813196e,91503517-37b0-42ff-89fb-d6bfdcf252e5,White,L
,6,128d0013-45e8-49d1-b818-eb0153e64eca,81676a7c-9a7a-412f-a4fc-007128b97d74,Black,L
,4,12e29e76-e40f-41f7-9e5d-c39a8f66c1a0,c97a12aa-f3e6-494f-8ff4-ba7e9ebb17c4,Red,M
,5,14326079-a77a-42a8-951a-7124f1bab77c,aaa66206-7d82-4a82-a398-e129a88093a1,Red,L
,2,15e12b20-798f-4af0-b5cf-e6e3019c943a,b4d31de1-f9bc-4f8c-abe3-d29aef34fadd,Black,8
,2,180af26c-c26a-439c-a32b-00df4cdbc93e,b4d31de1-f9bc-4f8c-abe3-d29aef34fadd,Black,6
,6,1b583acd-020b-4632-b638-27ffa579e06e,81676a7c-9a7a-412f-a4fc-007128b97d74,Red,L
,3,21126b66-227f-48ee-a6fb-fea6c682994d,f8804aa0-bc25-4697-8a76-4a4389aa62ab,White,M
,6,21320d4d-123f-4153-8c86-18b5481cccad,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Green,L
,6,219c8b84-59a2-4855-ad65-4fefbdc97f47,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Orange,L
,4,22cfb299-4dee-4aa6-824a-c9b668a3c4e9,f008daae-d78c-420b-a605-188245fc0645,White,M
,6,2699704e-1769-4b31-9558-6b754c06ffed,49ba190e-4008-4ae9-b044-47a37800a913,Blue,5
,3,26c50350-420e-45ec-be12-12bc693b4345,c97a12aa-f3e6-494f-8ff4-ba7e9ebb17c4,Brown,L
,6,297ee561-73ed-4afc-89f0-f8c3d1a7ef84,81676a7c-9a7a-412f-a4fc-007128b97d74,Black,M
,8,2a9adf34-de6c-4b3c-b50e-453ddd80b5ca,aaa66206-7d82-4a82-a398-e129a88093a1,Red,M
,3,2dc0c196-0838-4abb-b470-d385f8f2b254,f8804aa0-bc25-4697-8a76-4a4389aa62ab,Green,M
,4,30c031f2-c0f5-4058-9da6-e9b1285059f7,b520e92c-fa86-4e37-98af-25dda9b5e5f9,Black,L
,3,3520939e-a51e-4487-9a34-bf697cc5c3c8,c4345064-8acf-4df8-9f36-2dbc081c5132,Red,
,5,362ba73b-896a-4e3f-bd03-6e7ae9aadf03,1a5fd1ab-eed4-4808-8647-ea41ef8f8712,Black,5
,3,36561bcd-aef5-420a-9bbb-5b1b15e580a7,91503517-37b0-42ff-89fb-d6bfdcf252e5,White,M
,3,38e18a1b-b193-4db7-8d1f-db292d0dbfa3,c97a12aa-f3e6-494f-8ff4-ba7e9ebb17c4,Black,L
,5,3bdea4f6-6248-4829-95cd-70df2429e538,aaa66206-7d82-4a82-a398-e129a88093a1,Gray,M
,6,3bf2ca2a-f485-4831-9908-be5f4feae80f,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Black,L
,3,4575c6a4-ba9e-468e-852c-2828ae8a068a,49ba190e-4008-4ae9-b044-47a37800a913,Blue,6
,1,4b77005d-d442-495c-b952-8581ebe7d0f6,b4d31de1-f9bc-4f8c-abe3-d29aef34fadd,Black,10
,4,4b79f36b-4e1f-4fcc-aa6f-e430141795f2,1a5fd1ab-eed4-4808-8647-ea41ef8f8712,Blue,XS
,2,4c511982-cd9e-4810-a131-d58de0ff9f8d,91503517-37b0-42ff-89fb-d6bfdcf252e5,Black,L
,6,4d30bfba-6b85-4bd0-a0a6-689c6cdaaa79,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Red,M
,3,4f7429c5-4b71-4a3b-b800-ecf8485c3a9c,f8804aa0-bc25-4697-8a76-4a4389aa62ab,Gray,L
,3,51d0d968-3045-4fd7-a16e-c2e7fa4ae952,c4345064-8acf-4df8-9f36-2dbc081c5132,Yellow,
,6,546e50d0-fe81-4dd1-be80-5e7dc96351a2,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Pink,L
,4,5786d047-3938-46e8-91cc-68b68f702ea3,aaa66206-7d82-4a82-a398-e129a88093a1,Black,M
,3,57ffacf3-5ffb-4a71-84a3-15a542b01f6b,f8804aa0-bc25-4697-8a76-4a4389aa62ab,Green,L
,6,59a9c757-b83b-4b32-9e36-d025159aa225,81676a7c-9a7a-412f-a4fc-007128b97d74,Red,M
,10,5bee6b30-fb72-42d4-9b48-578844220dbc,e44c5449-63e0-4793-8a59-903828b0de53,Gray,
,4,5cf8ed38-e577-4608-b86b-d6d4c27bfa5d,aaa66206-7d82-4a82-a398-e129a88093a1,Orange,L
,4,5d32cf60-e1ec-488d-8d24-9de7840283e0,f8804aa0-bc25-4697-8a76-4a4389aa62ab,White,L
,2,6fa49ba9-05f5-4dd7-9c89-1d38260b6f9a,578362c8-15e6-4067-8946-430b3ad32ce4,White,L
,5,73f11445-35f8-4cce-aca7-66e21aeebbfc,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Black,M
,3,75f59ac9-4557-49d6-be8f-d3684dd47424,578362c8-15e6-4067-8946-430b3ad32ce4,Black,M
,4,78924bb4-ecbb-417b-bd81-b89362863742,f008daae-d78c-420b-a605-188245fc0645,Black,M
,4,7c6f7939-3bd7-40c2-b733-266b398e758e,b53a150c-113a-440d-a479-89daf2bd1535,Blue,18
,2,7e7b9116-2867-4f9e-a05e-66f16201b835,578362c8-15e6-4067-8946-430b3ad32ce4,Red,L
,6,805ee63d-1b86-4cf3-a159-fce1a3b2fbad,b520e92c-fa86-4e37-98af-25dda9b5e5f9,Red,M
,4,806c2b55-d675-4400-8aef-8ee136e7f8eb,c97a12aa-f3e6-494f-8ff4-ba7e9ebb17c4,Black,M
,4,82caa613-d387-4e15-bdaa-43cfdcff806c,1a5fd1ab-eed4-4808-8647-ea41ef8f8712,Blue,5
,6,84cf1be7-643a-4688-98fa-e4cf99bfd1ba,81676a7c-9a7a-412f-a4fc-007128b97d74,Green,L
,250,862b5f61-2353-46d2-9591-23cfe9822fff,8151963f-7fcd-4d9f-adc7-9e4f666413e0,White,
,5,87cad4d9-dfbd-44e8-b533-eac2e581b103,aaa66206-7d82-4a82-a398-e129a88093a1,White,L
,5,8927d282-6add-4c28-a221-09dd26a18816,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Blue,M
,4,8a141971-1371-499b-8f75-36c65492447b,b520e92c-fa86-4e37-98af-25dda9b5e5f9,White,L
,6,8a35ffe2-ba78-40a3-b2f0-137dfef923d6,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Red,L
,3,93697bc2-78a9-4e0b-9a4d-77dbfa75d03a,f8804aa0-bc25-4697-8a76-4a4389aa62ab,Gray,M
,6,945a5c1c-1ca4-42df-a700-0546e2ad6460,aaa66206-7d82-4a82-a398-e129a88093a1,White,M
,4,95599c6a-b07b-4218-a96c-55b00acaf34b,f008daae-d78c-420b-a605-188245fc0645,Black,L
,5,958494ab-2eca-49f3-93c0-a542435ca9c9,b520e92c-fa86-4e37-98af-25dda9b5e5f9,Black,M
,4,97f03498-24ab-4114-94cb-79f6b19f9031,b520e92c-fa86-4e37-98af-25dda9b5e5f9,Blue,L
,6,9c9255cb-5770-4ba3-993a-1e0f71c9200d,8cca45c0-0bf4-4198-8e93-5b0fec56d805,White,L
,6,9d15d214-9160-4245-88a0-f5d861951d5e,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Gray,L
,4,9e866226-00b7-4736-b913-40ed4bbf220a,f008daae-d78c-420b-a605-188245fc0645,White,L
,5,9e8774ff-0acf-4fca-8269-765cd31d175f,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Yellow,M
,5,a2aabd13-1bed-4d1e-9400-84dbee436ff4,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Orange,M
,6,a51ab144-5fc7-4f8a-9a58-b0b744b8a789,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Yellow,L
,5,a824869e-9784-47be-833b-0646f2b07015,aaa66206-7d82-4a82-a398-e129a88093a1,Black,L
,5,aeae5a89-0c64-4a82-9ee6-55d8ec31dcd5,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Green,M
,6,afb143c1-bfa8-45ff-a2c0-18f719108d69,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Blue,L
,3,b13e8323-27c2-4aea-934e-70941880429a,c4345064-8acf-4df8-9f36-2dbc081c5132,Purple,
,3,b5ce3ead-7a59-49ce-bdef-2ede080791d2,91503517-37b0-42ff-89fb-d6bfdcf252e5,Yellow,M
,4,b838a8de-770b-4db6-99fd-bb872f5b5eec,f8804aa0-bc25-4697-8a76-4a4389aa62ab,Black,M
,4,b895d8e5-9424-4649-8a87-98ec242394af,aaa66206-7d82-4a82-a398-e129a88093a1,Yellow,L
,6,ba7ec2d5-298c-41d0-9e9b-c0046bdeb929,81676a7c-9a7a-412f-a4fc-007128b97d74,Green,M
,270,bb5078d0-d841-49c9-8024-41eaf673d0f2,47a1bb77-68db-43c2-a74f-d36cc8391c95,White,
,19,bdde8bed-8aba-42d1-b9de-db670f8c010a,b6dc3ca9-d247-4f61-8ea6-5ce61913a124,Black,
,6,c0c728e3-37b5-4bfe-9a05-a24689744b2f,aaa66206-7d82-4a82-a398-e129a88093a1,Blue,L
,2,c51496bd-38c1-483d-ba4e-fdb3c5f1efe0,91503517-37b0-42ff-89fb-d6bfdcf252e5,Black,M
,3,c66521eb-819e-4924-9961-2fb3b0ddccf1,91503517-37b0-42ff-89fb-d6bfdcf252e5,Gray,M
,3,c6b95dd4-afa5-45f6-9bfc-c673b40001a4,578362c8-15e6-4067-8946-430b3ad32ce4,Red,M
,6,c94e3b5c-6411-4e22-ac15-e68ccd284fe4,aaa66206-7d82-4a82-a398-e129a88093a1,Pink,L
,5,c984bca7-16d1-4eb2-a74c-08585d659269,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Purple,M
,3,ca335a26-83c8-474b-9f9e-2c7e0e02938a,c97a12aa-f3e6-494f-8ff4-ba7e9ebb17c4,Red,L
,100,ca96dd4b-5754-4976-bd57-1892e7b1a399,077f1bd0-14c7-48f8-ba80-681333afb086,White,
,3,cacf2097-1ab7-4c1d-9670-d7283b29288e,91503517-37b0-42ff-89fb-d6bfdcf252e5,Gray,L
,3,cca45c36-a3cb-4b8b-873b-e6a0b847fdfb,aaa66206-7d82-4a82-a398-e129a88093a1,Pink,M
,4,ce28077c-27a0-4e30-a1e4-ee8c0bcb860d,b53a150c-113a-440d-a479-89daf2bd1535,White,16
,2,cfee5ea8-f63e-499b-ab30-de5248a88db2,578362c8-15e6-4067-8946-430b3ad32ce4,Gray,L
,3,d0551dcb-8489-4044-a1a7-899857bdfcb4,91503517-37b0-42ff-89fb-d6bfdcf252e5,Yellow,L
,5,d807d5ea-58e9-4894-a886-65a10e963389,b520e92c-fa86-4e37-98af-25dda9b5e5f9,White,M
,3,d8b1a410-4fac-41a8-8502-3d3d4ea435f9,578362c8-15e6-4067-8946-430b3ad32ce4,Gray,M
,5,de2b0958-effc-4fd8-9e13-0df06e13c3ce,8cca45c0-0bf4-4198-8e93-5b0fec56d805,White,M
,3,dee62a07-91dd-49f3-a2ef-6c898ed440aa,578362c8-15e6-4067-8946-430b3ad32ce4,White,M
,6,e01eeffd-6328-4519-987b-f3a179eafe07,1a5fd1ab-eed4-4808-8647-ea41ef8f8712,Black,6
,5,e178122b-1e26-44a0-8afb-7775c69d3657,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Pink,M
,4,e41dfc2a-43bc-4483-b196-44827592a562,c97a12aa-f3e6-494f-8ff4-ba7e9ebb17c4,Brown,M
,3,e5f1f7f7-96ce-43e4-80ce-d4aee209b211,f8804aa0-bc25-4697-8a76-4a4389aa62ab,Black,L
,5,e63bac94-7517-4ff2-b95a-ca39ddf746b2,8cca45c0-0bf4-4198-8e93-5b0fec56d805,Gray,M
,2,f7e7ba06-a9c8-4428-869d-ff7cde1fa636,b4d31de1-f9bc-4f8c-abe3-d29aef34fadd,Black,5
