id,price,governorate_id,store_id
1495,50,1,2e5f69a2-4099-4eaa-a5ba-ccf1fc9bdcc4
1496,45,3,2e5f69a2-4099-4eaa-a5ba-ccf1fc9bdcc4
1610,20,1,6f832b3e-eb01-4659-a46a-1147be39571c
1611,30,2,6f832b3e-eb01-4659-a46a-1147be39571c
1612,25,3,6f832b3e-eb01-4659-a46a-1147be39571c
1613,60,4,6f832b3e-eb01-4659-a46a-1147be39571c
1614,30,5,6f832b3e-eb01-4659-a46a-1147be39571c
1833,85,1,9cfdfcde-b865-4d48-865e-78edca0d1313
1834,85,2,9cfdfcde-b865-4d48-865e-78edca0d1313
1835,85,3,9cfdfcde-b865-4d48-865e-78edca0d1313
1836,85,4,9cfdfcde-b865-4d48-865e-78edca0d1313
1837,85,5,9cfdfcde-b865-4d48-865e-78edca0d1313
1838,85,6,9cfdfcde-b865-4d48-865e-78edca0d1313
1839,85,7,9cfdfcde-b865-4d48-865e-78edca0d1313
1840,85,8,9cfdfcde-b865-4d48-865e-78edca0d1313
1841,85,9,9cfdfcde-b865-4d48-865e-78edca0d1313
1842,85,10,9cfdfcde-b865-4d48-865e-78edca0d1313
1843,85,11,9cfdfcde-b865-4d48-865e-78edca0d1313
1844,85,12,9cfdfcde-b865-4d48-865e-78edca0d1313
1845,85,13,9cfdfcde-b865-4d48-865e-78edca0d1313
1846,85,14,9cfdfcde-b865-4d48-865e-78edca0d1313
1847,110,15,9cfdfcde-b865-4d48-865e-78edca0d1313
1848,110,16,9cfdfcde-b865-4d48-865e-78edca0d1313
1849,110,17,9cfdfcde-b865-4d48-865e-78edca0d1313
1850,110,18,9cfdfcde-b865-4d48-865e-78edca0d1313
1851,110,19,9cfdfcde-b865-4d48-865e-78edca0d1313
1852,110,20,9cfdfcde-b865-4d48-865e-78edca0d1313
1853,110,21,9cfdfcde-b865-4d48-865e-78edca0d1313
1854,110,22,9cfdfcde-b865-4d48-865e-78edca0d1313
1855,110,23,9cfdfcde-b865-4d48-865e-78edca0d1313
1856,110,24,9cfdfcde-b865-4d48-865e-78edca0d1313
1857,110,25,9cfdfcde-b865-4d48-865e-78edca0d1313
1858,110,26,9cfdfcde-b865-4d48-865e-78edca0d1313
1859,110,27,9cfdfcde-b865-4d48-865e-78edca0d1313
1890,40,2,fb972f74-0b45-417c-ab5e-e1ba39a53955
2283,0,1,51da23d7-691e-4119-a13b-6670c18bba93
2284,0,23,51da23d7-691e-4119-a13b-6670c18bba93
2285,0,22,51da23d7-691e-4119-a13b-6670c18bba93
2286,0,21,51da23d7-691e-4119-a13b-6670c18bba93
2287,0,20,51da23d7-691e-4119-a13b-6670c18bba93
2288,0,19,51da23d7-691e-4119-a13b-6670c18bba93
2289,0,18,51da23d7-691e-4119-a13b-6670c18bba93
2290,0,17,51da23d7-691e-4119-a13b-6670c18bba93
2291,0,15,51da23d7-691e-4119-a13b-6670c18bba93
2292,0,16,51da23d7-691e-4119-a13b-6670c18bba93
2293,0,14,51da23d7-691e-4119-a13b-6670c18bba93
2294,0,13,51da23d7-691e-4119-a13b-6670c18bba93
2295,0,12,51da23d7-691e-4119-a13b-6670c18bba93
2296,0,11,51da23d7-691e-4119-a13b-6670c18bba93
2297,0,10,51da23d7-691e-4119-a13b-6670c18bba93
2298,0,9,51da23d7-691e-4119-a13b-6670c18bba93
2299,0,8,51da23d7-691e-4119-a13b-6670c18bba93
2300,0,7,51da23d7-691e-4119-a13b-6670c18bba93
2301,0,6,51da23d7-691e-4119-a13b-6670c18bba93
2302,0,5,51da23d7-691e-4119-a13b-6670c18bba93
2303,0,4,51da23d7-691e-4119-a13b-6670c18bba93
2304,0,3,51da23d7-691e-4119-a13b-6670c18bba93
2305,0,2,51da23d7-691e-4119-a13b-6670c18bba93
2306,50,5,b3e2a517-b6b7-44e5-a644-afa4ead57d8f
2307,0,6,b3e2a517-b6b7-44e5-a644-afa4ead57d8f
