analytics,auto_renew,end_date,start_date,id,plan_id,vendor_id,billing_cycle,status
0,0,2026-04-05,2026-03-05,128b7703-f049-4d3b-86cb-c518f2cb9f5c,8815b4f6-d5d0-4039-83a0-4d9b667bc955,ea87d8dd-4405-45e4-b960-67e8da519c9b,monthly,ACTIVE
0,1,2026-04-11,2026-03-11,2333a8e1-2c95-4f8f-91bc-2d48e163d86e,68e5856a-8fd4-42ed-94ef-b56075217eb8,aafdeeb2-59fc-4618-93d7-1747429b2306,monthly,ACTIVE
0,1,2026-04-05,2026-03-05,3dfc6151-9525-4a49-8850-8342b24833e4,8815b4f6-d5d0-4039-83a0-4d9b667bc955,af3b792c-5bcf-4cd8-a8a4-f280c0d37e13,monthly,ACTIVE
1,1,2027-02-19,2026-02-19,4409b5c9-f5c6-4e9f-b6dd-2ab9757c1560,24f47569-41ee-43d4-aeb9-7c3b7d078492,8d59e915-f4cb-49ec-aff5-be856a6a1c24,yearly,ACTIVE
0,1,2026-04-23,2026-03-23,5f9c395c-94df-421f-8943-0f7930d233bb,e6dfe4f0-8a2a-496a-80d7-c1a3f44a848a,861eafbb-65f5-4afd-a560-681d136a3aaf,monthly,ACTIVE
0,1,2026-04-05,2026-03-05,6e638f72-04a3-4d65-8685-27035836ff84,68e5856a-8fd4-42ed-94ef-b56075217eb8,5ca35bdc-a622-40ff-a555-f4452afc4614,monthly,ACTIVE
0,1,2026-05-15,2026-04-16,85e491d5-e705-446f-84d6-be1a66c5831c,8815b4f6-d5d0-4039-83a0-4d9b667bc955,54ec3ee9-0aca-4d2e-8c0b-5e1f4014284f,monthly,ACTIVE
0,1,2026-04-18,2026-03-18,b1b436ff-d0b8-4221-b44c-df5c09db6b04,8815b4f6-d5d0-4039-83a0-4d9b667bc955,cf54c5e0-96a0-44d0-9de7-ec52d5871708,monthly,ACTIVE
0,1,2026-05-15,2026-04-16,c0e4b276-8b49-4c12-a8c3-8101b017b64d,8815b4f6-d5d0-4039-83a0-4d9b667bc955,15792289-8c0d-420a-bbc8-eaa1410c2182,monthly,ACTIVE
0,1,2026-04-06,2026-03-06,d2a25db2-a79c-471d-872f-b8e647fe57aa,68e5856a-8fd4-42ed-94ef-b56075217eb8,3c694768-d832-400e-82f7-0397712a1b30,monthly,ACTIVE
0,1,2026-04-10,2026-03-10,d385b989-d033-42e9-8997-f4112bb07791,8815b4f6-d5d0-4039-83a0-4d9b667bc955,8c47d504-4830-4f85-8b05-d871e12cc988,monthly,ACTIVE
0,1,2026-04-12,2026-03-12,d9893727-a181-4953-96c3-888bf13d44a5,8815b4f6-d5d0-4039-83a0-4d9b667bc955,5e82b975-ba21-49cf-a1fe-f6d5d625e931,monthly,ACTIVE
0,1,2026-04-25,2026-03-26,fa2a5d71-4b04-4224-9df3-da8593251dc2,8815b4f6-d5d0-4039-83a0-4d9b667bc955,f2aaf4f6-c4f8-4d5b-81f9-b902039fc041,monthly,ACTIVE
0,1,2026-04-25,2026-03-26,fb444194-a472-464c-a59b-2e0a023b2eeb,68e5856a-8fd4-42ed-94ef-b56075217eb8,8df86530-97e9-454c-b705-4b9e30a8b8b2,monthly,ACTIVE
